QueryNumber;QueryText
1;effect calcium physic properti mucu cf patient
2;one distinguish effect mucu hypersecret infect submucos gland respiratori tract cf
3;salivari glycoprotein cf patient differ normal subject
4;lipid composit cf respiratori secret
5;cf mucu abnorm
6;effect water therapeut agent physic properti viscos elast sputum bronchial secret cf patient
7;mucu glycoprotein degrad differ cf patient compar normal subject
8;histochem differ describ normal cf respiratori epithelia
9;associ liver diseas cirrhosi vitamin metabol cf
10;role vitamin therapi patient cf
11;differ meconium ileu meconium plug syndrom
12;abnorm amino acid transport describ small bowel cf patient
13;clinic biochem featur pancreat cf patient
14;non invas test perform evalu exocrin pancreat function patient cf
15;hepat complic manifest cf
16;gastrointestin complic cf neonat period exclud liver diseas meconium ileu
17;effect regimen use pancreat enzym supplement treatment cf patient
18;dietari supplement bile salt therapeut benefit cf patient
19;complic pancreat enzym therapi report cf patient
20;effect treatment cf patient essenti fatti acid supplement
21;pancreat insuffici cf patient affect abil absorb metabol iron
22;frequenc cf non caucasian popul
23;congenit hereditari diseas condit found associ cf
24;characterist patient cf incomplet manifest
25;evid genet basi cf involv one gene
26;heterozygot advantag cf
27;concord clinic biochem manifest cf sibl pair cf
28;incid male fertil cf
29;patholog reproduct system male femal cf
30;result genet counsel famili children cf
31;major psycholog social effect cf patient famili
32;factor influenc complianc prescrib therapi cf patient
33;condit factor lead erron sweat test
34;altern techniqu classic gibson cook quantit pilocarpin iontophoresi test titrimetr analysi chlorid avail sweat test rel advantag disadvantag
35;cf patient found consist normal sweat test
36;concentr potassium sweat cf patient
37;techniqu avail screen newborn infant cf factor contribut erron result test
38;cf diagnos prenat
39;may heterozygot cf identifi
40;sweat test techniqu may use beyond neonat period diagnosi cf
41;vitamin metabol normal cf patient
42;abnorm insulin secret insulin metabol occur cf patient
43;salt sodium chlorid transport permeabl abnorm cf
44;structur enzymat differ fibroblast cf patient non cf patient
45;abnorm prostaglandin metabol describ cf patient
46;properti activ galactosyltransferas enzym cf patient
47;differ normal subject cf patient describ function metabol hormon
48;fibroblast cf patient grow normal rate
49;rna methyl polyamin metabol normal cf patient
50;defect synthesi metabol cyclic nucleotid describ cf patient
51;circul secret factor describ cf patient factor unidentifi biolog activ molecul thought play pathogenet role cystic fibrosi
52;known prolactin cf patient
53;secretori iga protect cf patient bacteri colon infect
54;relationship allergi hypersensit lung diseas cf patient
55;interact proteas endogen bacteri origin antiproteas lung cf patient
56;relationship nutrit pulmonari host defens bacteri infect cf patient
57;pathophysiolog role circul antibodi pseudomona aeruginosa cf patient
58;immunolog respons pulmonari infect cf patient
59;immunolog abnorm found cf patient
60;effect cf pulmonari circul
61;defect mucociliari transport clearanc respiratori tract cf patient
62;clinic featur lung diseas cf patient
63;biochem microscop characterist airway inflamm cf patient
64;lung function chang time cf patient time period greater day
65;abnorm pulmonari function cf patient
66;patholog featur lung diseas cf patient
67;prognosi patient episod respiratori failur
68;effect bronchodil cf patient
69;best way treat pneumothorax cf patient
70;treatment prognosi hemoptysi cf patient
71;prognosi infant wheez cystic fibrosi
72;best treatment nasal polyp cf patient
73;effect bronchial lavag cf patient
74;result mechan ventil cf patient respiratori failur
75;best treatment pulmonari hypertens cor pulmonal cf patient
76;effect exercis train program lung function cf patient
77;techniqu effect promot clearanc mucu lung cf patient
78;special consider treatment cf patient antibiot ie pharmacodynam antibiot differ cf patient special problem peculiar cf
79;role oral administ antibiot treatment cf patient
80;evid combin therapi aminoglycosid semisynthet penicillin effect therapi either alon
81;effect inhal mucolyt agent treatment cf patient
82;role aerosol treatment lung diseas cf patient
83;role bacteri phagocytosi alveolar macrophag polymorphonuclear leukocyt lung diseas cf patient
84;relationship haemophilu influenza pseudomona aeruginosa cf patient
85;cf patient ever develop infect organ lung organ
86;role bacteria pseudomona aeruginosa staphylococcu aureu haemophilu influenza pathogenesi lung diseas cf patient
87;role fungi pathogenesi lung diseas cf patient
88;role viral infect lung diseas cf patient
89;epidemiolog pseudomona aeruginosa cf patient specif cf patient spread pseudomona aeruginosa patient individu famili
90;factor respons appear mucoid strain pseudomona aeruginosa cf patient
91;unusu manifest cf lung diseas exocrin pancreat insuffici
92;prognosi surviv patient cf
94;anim model avail relev cf
95;abnorm skelet muscl function structur found cf patient
96;increas incid dental problem eg cari periodont diseas cf patient
97;oxygen transport red blood cell abnorm cf patient
98;effect cf develop function brain central nervou system
99;abnorm tast cf patient
100;incid treatment hypertroph osteoarthropathi cf patient
